9000 4 473  1 1 0 1 --- 0.303907871246 --- 
9001 4 326  0 0 1 1 --- 0.305937051773 --- 
9002 4 196  1 0 0 0 --- 0.312126874924 --- 
9003 4 545  1 1 0 1 --- 0.300005912781 --- 
9004 4 243  0 0 0 1 --- 0.318379878998 --- 
9005 4 563  1 1 1 1 --- 0.300123929977 --- 
9006 4 410  0 1 1 1 --- 0.297352075577 --- 
9007 4 375  1 1 0 1 --- 0.316431045532 --- 
9008 4 235  1 0 0 0 --- 0.314942121506 --- 
9009 4 224  1 0 0 1 --- 0.296210050583 --- 
9010 4 297  0 1 0 1 --- 0.312419891357 --- 
9011 4 459  1 0 0 1 --- 0.304777860641 --- 
9012 4 325  1 1 1 0 --- 0.315317869186 --- 
9013 4 431  1 1 0 1 --- 0.296601057053 --- 
9014 4 472  0 1 1 1 --- 0.296461105347 --- 
9015 4 230  0 1 1 0 --- 0.297042846680 --- 
9016 4 452  1 1 0 1 --- 0.371956825256 --- 
9017 4 306  1 1 0 0 --- 0.321694850922 --- 
9018 4 483  0 1 1 1 --- 0.290909051895 --- 
9019 4 227  0 1 0 0 --- 0.326030969620 --- 
9020 4 229  1 0 0 0 --- 0.329941034317 --- 
9021 4 496  1 1 1 1 --- 0.303234100342 --- 
9022 4 286  1 0 1 0 --- 0.316643953323 --- 
9023 4 387  1 1 0 1 --- 0.299890995026 --- 
9024 4 393  0 1 1 0 --- 0.308233022690 --- 
9025 4 295  1 0 1 0 --- 0.301192045212 --- 
9026 4 512  1 1 1 0 --- 0.311412811279 --- 
9027 4 184  0 1 0 1 --- 0.306449890137 --- 
9028 4 317  0 1 0 1 --- 0.307971000671 --- 
9029 4 372  1 1 0 1 --- 0.306403875351 --- 
9030 4 296  0 1 0 1 --- 0.305642127991 --- 
9031 4 309  1 0 0 1 --- 0.298275947571 --- 
9032 4 501  1 0 1 1 --- 0.302108049393 --- 
9033 4 100  1 0 1 1 --- 0.303321838379 --- 
9034 4 253  1 0 0 0 --- 0.314291000366 --- 
9035 4 585  1 1 0 1 --- 0.292692899704 --- 
9036 4 584  1 1 1 1 --- 0.299390792847 --- 
9037 4 231  1 1 0 0 --- 0.304865121841 --- 
9038 4 251  1 1 0 0 --- 0.304342031479 --- 
9039 4 159  0 0 0 1 --- 0.317015886307 --- 
9040 4 314  1 1 0 1 --- 0.307701110840 --- 
9041 4 401  1 0 1 1 --- 0.292301893234 --- 
9042 4 437  1 1 0 1 --- 0.293650150299 --- 
9043 4 398  0 1 1 1 --- 0.303231954575 --- 
9044 4 505  1 0 1 1 --- 0.306113004684 --- 
9045 4 319  0 1 1 0 --- 0.317089796066 --- 
9046 4 217  1 1 1 0 --- 0.314389944077 --- 
9047 4 330  1 1 0 1 --- 0.300539016724 --- 
9048 4 254  1 1 0 1 --- 0.307998180389 --- 
9049 4 462  0 1 1 1 --- 0.302289962769 --- 
